WAVELENGTH,AR Reflecttance @ 00 AOI,AR Reflecttance @ 30 AOI,AR Transmittance @ 00 AOI,AR Transmittance @ 30 AOI
2.838,2.966403,1.762712,87.753651,89.708254
2.84,2.939677,1.742824,87.73877,89.649678
2.842,2.91355,1.720226,87.739567,89.604636
2.844,2.882381,1.691622,87.775353,89.602108
2.846,2.849434,1.663718,87.818813,89.610847
2.848,2.817287,1.639128,87.856101,89.617273
2.85,2.789868,1.623514,87.862041,89.592648
2.852,2.761749,1.612184,87.859978,89.56095
2.854,2.730788,1.603043,87.865206,89.536651
2.856,2.692508,1.589432,87.905923,89.548584
2.858,2.65432,1.572819,87.961531,89.57295
2.86,2.622142,1.554134,88.013131,89.58906
2.862,2.602003,1.535492,88.037573,89.568809
2.864,2.588958,1.516894,88.044594,89.530829
2.866,2.574712,1.497594,88.049721,89.500646
2.868,2.551339,1.478034,88.071958,89.508185
2.87,2.518479,1.457615,88.112067,89.547307
2.872,2.482598,1.437646,88.159282,89.590065
2.874,2.451008,1.41844,88.199347,89.604602
2.876,2.42664,1.400034,88.227616,89.581474
2.878,2.405586,1.379559,88.255907,89.551659
2.88,2.38304,1.355927,88.292301,89.540257
2.882,2.356048,1.327272,88.344957,89.568691
2.884,2.328182,1.301408,88.39806,89.605881
2.886,2.301822,1.282139,88.445607,89.636972
2.888,2.280694,1.275144,88.475187,89.634696
2.89,2.259851,1.272051,88.499921,89.62308
2.892,2.236405,1.268163,88.527356,89.61495
2.894,2.205466,1.25384,88.574362,89.640056
2.896,2.169971,1.233242,88.63315,89.685106
2.898,2.136431,1.213337,88.693322,89.729773
2.9,2.110402,1.201191,88.740344,89.751253
2.902,2.091618,1.196436,88.774808,89.750621
2.904,2.073936,1.188897,88.811272,89.752015
2.906,2.051515,1.173128,88.858651,89.772289
2.908,2.021286,1.144356,88.923089,89.822677
2.91,1.990459,1.113214,88.988126,89.875067
2.912,1.963275,1.086229,89.044107,89.913072
2.914,1.946648,1.073002,89.076268,89.910414
2.916,1.93208,1.065817,89.103675,89.898518
2.918,1.91502,1.060501,89.137942,89.895225
2.92,1.888205,1.049223,89.196511,89.930678
2.922,1.857217,1.032429,89.271381,89.990167
2.924,1.829252,1.012572,89.351395,90.054981
2.926,1.813089,0.994456,89.418055,90.09503
2.928,1.810147,0.97929,89.467573,90.104915
2.93,1.807351,0.96999,89.513219,90.112803
2.932,1.796611,0.966388,89.563306,90.135535
2.934,1.768798,0.968274,89.628377,90.192514
2.936,1.735986,0.967399,89.695516,90.255888
2.938,1.701316,0.961159,89.760348,90.315596
2.94,1.678139,0.941683,89.810081,90.342569
2.942,1.66273,0.913855,89.85382,90.352746
2.944,1.650844,0.882977,89.904424,90.366414
2.946,1.635484,0.855983,89.973257,90.405901
2.948,1.615634,0.836273,90.060363,90.473317
2.95,1.591997,0.825348,90.146821,90.542736
2.952,1.56701,0.82154,90.223825,90.601476
2.954,1.543539,0.823309,90.276737,90.628278
2.956,1.520834,0.825107,90.323144,90.646391
2.958,1.499987,0.821913,90.373839,90.669928
2.96,1.480799,0.808646,90.446637,90.721578
2.962,1.463266,0.78975,90.533045,90.790859
2.964,1.447621,0.769434,90.624038,90.864406
2.966,1.433451,0.754152,90.704987,90.924251
2.968,1.419317,0.747083,90.76993,90.962358
2.97,1.403833,0.744629,90.832427,90.998022
2.972,1.385912,0.744157,90.89937,91.04244
2.974,1.364443,0.742446,90.98279,91.111772
2.976,1.342484,0.735302,91.070619,91.188052
2.978,1.322993,0.722581,91.157503,91.262103
2.98,1.308877,0.702507,91.22955,91.313247
2.982,1.299902,0.677304,91.288957,91.343653
2.984,1.289624,0.656276,91.350458,91.375061
2.986,1.275319,0.64382,91.42175,91.419457
2.988,1.25314,0.644186,91.512891,91.491454
2.99,1.228694,0.64981,91.607325,91.569793
2.992,1.205696,0.656594,91.697606,91.644262
2.994,1.191012,0.652743,91.764871,91.689485
2.996,1.182226,0.640974,91.815749,91.715012
2.998,1.175645,0.62407,91.864772,91.74231
