WAVELENGTH,AR-AR-T-00AOI,AR-AR-T-30AOI,AR-AR-T-45AOI,AR-AR-T-55AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,AR-R-00AOI,AR-R-30AOI,DLC-R-00AOI
6.356,60.511866,74.195709,77.960741,78.123832,64.144156,66.703474,68.773854,69.730262,16.150901,11.204664,18.349666
6.358,60.582498,74.263386,78.014556,78.169376,64.219634,66.787377,68.855338,69.802882,16.10361,11.171751,18.321943
6.36,60.648173,74.328389,78.065602,78.212267,64.294153,66.870845,68.936454,69.875072,16.056792,11.139874,18.29412
6.362,60.708658,74.389076,78.113275,78.25226,64.362659,66.946768,69.010176,69.94054,16.013255,11.109947,18.268107
6.364,60.763886,74.446116,78.157742,78.289372,64.427556,67.018662,69.080019,70.002429,15.973645,11.081591,18.244325
6.366,60.814403,74.499935,78.19925,78.323763,64.48977,67.087688,69.147089,70.061734,15.936797,11.054577,18.222068
6.368,60.860358,74.550505,78.237926,78.355574,64.548618,67.152664,69.210153,70.11736,15.902523,11.028938,18.201234
6.37,60.901378,74.597741,78.273811,78.384863,64.603503,67.212585,69.268158,70.168371,15.87114,11.004729,18.18198
6.372,60.936857,74.640972,78.305978,78.410686,64.655148,67.268989,69.32269,70.216175,15.842766,10.982251,18.164328
6.374,60.96991,74.680884,78.335274,78.433896,64.703253,67.321068,69.372925,70.260041,15.816969,10.961187,18.148263
6.376,61.000896,74.718612,78.363172,78.455982,64.74699,67.366901,69.41689,70.298219,15.793708,10.941021,18.133802
6.378,61.031949,74.75522,78.391059,78.478348,64.785594,67.404727,69.45278,70.329105,15.772647,10.92127,18.120834
6.38,61.063578,74.790031,78.41808,78.500178,64.81988,67.436536,69.482656,70.354559,15.753626,10.902251,18.109239
6.382,61.097002,74.823047,78.444207,78.521403,64.849607,67.461665,69.50582,70.373936,15.736784,10.883956,18.099398
6.384,61.132315,74.854981,78.470324,78.542838,64.873766,67.477584,69.519642,70.384862,15.721792,10.866046,18.091234
6.386,61.171574,74.886488,78.497265,78.565254,64.891281,67.481686,69.521413,70.384885,15.710139,10.84821,18.085616
6.388,61.215895,74.915655,78.523704,78.587538,64.898721,67.469046,69.506191,70.369491,15.703451,10.831472,18.083559
6.39,61.264767,74.94346,78.550139,78.610073,64.898908,67.444217,69.478587,70.342881,15.697932,10.815289,18.082687
6.392,61.318059,74.972948,78.578602,78.634555,64.897738,67.415862,69.447315,70.313009,15.692463,10.798031,18.082257
6.394,61.376172,75.00714,78.611111,78.662669,64.901063,67.392577,69.421023,70.287771,15.684982,10.77808,18.081132
6.396,61.439107,75.045573,78.647252,78.694057,64.908282,67.373534,69.398913,70.266386,15.673582,10.755696,18.078207
6.398,61.507584,75.087119,78.68632,78.728136,64.917085,67.35532,69.377534,70.245728,15.658947,10.73148,18.073918
6.4,61.581301,75.132724,78.729125,78.7656,64.928805,67.339801,69.358703,70.227548,15.641236,10.704898,18.068242
6.402,61.662836,75.18333,78.776479,78.807144,64.944768,67.328838,69.34423,70.21359,15.619853,10.675424,18.06125
6.404,61.757025,75.239407,78.829255,78.85358,64.962732,67.317854,69.329376,70.199511,15.594546,10.64277,18.053424
6.406,61.857408,75.300378,78.886854,78.904379,64.982507,67.306895,69.314243,70.185365,15.564553,10.607265,18.043634
6.408,61.958526,75.365634,78.94781,78.95816,65.009105,67.305875,69.309062,70.180553,15.529406,10.569298,18.030959
6.41,62.059165,75.434575,79.010663,79.013544,65.047522,67.324675,69.324029,70.194445,15.487637,10.529251,18.014718
6.412,62.155059,75.508304,79.076075,79.071105,65.100584,67.367561,69.363449,70.231019,15.435451,10.48652,17.992888
6.414,62.245597,75.587418,79.145136,79.131861,65.165457,67.428692,69.421279,70.284723,15.375777,10.440741,17.966653
6.416,62.328431,75.668713,79.214963,79.193222,65.239661,67.506367,69.495994,70.354107,15.312504,10.393719,17.937425
6.418,62.401033,75.748953,79.282635,79.25256,65.320749,67.598979,69.586166,70.437813,15.245076,10.347278,17.90476
6.42,62.45272,75.827416,79.347203,79.309033,65.410287,67.710783,69.696247,70.540003,15.173749,10.301794,17.867708
