WAVELENGTH,Normal,20 deg,Normal,20 deg
2.886,5.850375,5.015863,9.791772,8.058592
2.888,5.887478,4.946505,9.627947,7.91395
2.89,5.940106,4.876932,9.476015,7.784544
2.892,5.98662,4.817871,9.329648,7.660126
2.894,5.980538,4.788984,9.170248,7.511717
2.896,5.943405,4.786261,8.998618,7.351549
2.898,5.904793,4.80259,8.816769,7.199779
2.9,5.902313,4.82627,8.632565,7.078795
2.902,5.937124,4.857633,8.45,6.983274
2.904,5.98768,4.898756,8.276589,6.882708
2.906,6.033584,4.952263,8.116409,6.759348
2.908,6.053452,5.016406,7.973564,6.596369
2.91,6.057319,5.07984,7.847458,6.417369
2.912,6.053968,5.137302,7.729913,6.237989
2.914,6.055159,5.184741,7.614028,6.075988
2.916,6.06324,5.208747,7.483467,5.915132
2.918,6.080488,5.200125,7.330942,5.750405
2.92,6.107482,5.14708,7.150688,5.574079
2.922,6.140477,5.090706,6.960474,5.400871
2.924,6.175999,5.071063,6.777884,5.248193
2.926,6.205757,5.129055,6.625486,5.130776
2.928,6.227331,5.265681,6.509454,5.054064
2.93,6.236003,5.389014,6.410242,5.004412
2.932,6.233207,5.449513,6.312243,4.969311
2.934,6.221634,5.391777,6.199712,4.935541
2.936,6.209538,5.289953,6.071533,4.873469
2.938,6.200625,5.169487,5.928192,4.774767
2.94,6.203555,5.120014,5.778375,4.626206
2.942,6.222471,5.124633,5.628796,4.451349
2.944,6.262274,5.166554,5.491005,4.285959
2.946,6.320994,5.20856,5.373611,4.165339
2.948,6.391539,5.242117,5.276091,4.095452
2.95,6.452794,5.278218,5.183054,4.05323
2.952,6.496561,5.323849,5.086843,4.02022
2.954,6.507173,5.389828,4.972912,3.963958
2.956,6.492319,5.450886,4.85351,3.884109
2.958,6.458084,5.491007,4.735575,3.778463
2.96,6.416363,5.487067,4.632423,3.648703
2.962,6.381555,5.469209,4.54483,3.514901
2.964,6.365581,5.467575,4.470607,3.397974
2.966,6.37648,5.508748,4.405635,3.316686
2.968,6.418716,5.606402,4.345924,3.280538
2.97,6.469192,5.682658,4.278313,3.25071
2.972,6.514814,5.701075,4.196793,3.206184
2.974,6.536042,5.602243,4.093939,3.111867
2.976,6.545458,5.471307,3.990374,3.017866
2.978,6.548457,5.34874,3.897164,2.948872
2.98,6.562938,5.330391,3.834593,2.951945
2.982,6.588949,5.412409,3.800695,3.019206
2.984,6.612346,5.516142,3.765531,3.069271
2.986,6.625859,5.597777,3.715722,3.066729
2.988,6.619682,5.593901,3.631391,2.961547
2.99,6.606564,5.54206,3.53781,2.824497
2.992,6.591973,5.460753,3.448518,2.69121
2.994,6.591386,5.405298,3.394549,2.647441
2.996,6.60075,5.374863,3.369365,2.67243
2.998,6.610478,5.366186,3.360226,2.722904
3,6.614444,5.3705,3.354079,2.765019
3.002,6.605524,5.37905,3.334418,2.751455
3.004,6.599677,5.39849,3.309342,2.71518
3.006,6.605765,5.430667,3.281508,2.672692
3.008,6.639559,5.476954,3.261149,2.656362
3.01,6.684686,5.529033,3.237964,2.656266
3.012,6.726457,5.580153,3.202375,2.66004
3.014,6.746422,5.622165,3.147709,2.650471
3.016,6.731337,5.649011,3.065996,2.616972
3.018,6.705045,5.666364,2.993224,2.57954
3.02,6.676322,5.675902,2.94325,2.546763
3.022,6.669142,5.68337,2.944949,2.537014
3.024,6.676619,5.684877,2.981229,2.541104
3.026,6.684276,5.674112,3.021482,2.542677
3.028,6.677122,5.644941,3.034982,2.524618
3.03,6.643824,5.594201,3.000615,2.476492
3.032,6.611739,5.545492,2.956101,2.426426
3.034,6.585982,5.505107,2.911531,2.381623
3.036,6.593728,5.491937,2.911036,2.371271
3.038,6.626583,5.500822,2.944557,2.388779
3.04,6.654607,5.507231,2.981114,2.404777
3.042,6.666833,5.503546,3.006509,2.410339
3.044,6.639603,5.468471,2.99201,2.383752
3.046,6.596396,5.419326,2.961957,2.345721
3.048,6.553112,5.366816,2.932107,2.31109
3.05,6.534673,5.329707,2.926255,2.30107
3.052,6.542391,5.310283,2.946293,2.321132
3.054,6.558563,5.300641,2.974087,2.369291
3.056,6.570921,5.294727,2.997786,2.435187
3.058,6.555116,5.281132,2.995395,2.512737
3.06,6.532411,5.263686,2.982144,2.58018
3.062,6.513929,5.246218,2.965662,2.623146
3.064,6.51516,5.230506,2.957432,2.630355
3.066,6.547704,5.219253,2.968225,2.594614
3.068,6.568755,5.202688,2.981183,2.55424
3.07,6.56477,5.178644,2.991028,2.523679
3.072,6.50534,5.140866,2.986048,2.537576
3.074,6.40638,5.093381,2.971531,2.589054
3.076,6.312356,5.045369,2.964188,2.653166
3.078,6.252114,5.003958,2.974009,2.708715
3.08,6.261044,4.977526,3.011965,2.730224
3.082,6.302102,4.960683,3.064961,2.728112
3.084,6.355715,4.951275,3.126939,2.707879
3.086,6.374517,4.941336,3.177797,2.689224
3.088,6.347337,4.929083,3.214139,2.677791
3.09,6.293125,4.911821,3.227123,2.675926
3.092,6.219184,4.890621,3.21941,2.684586
3.094,6.158165,4.865283,3.191998,2.701343
3.096,6.10911,4.838221,3.15279,2.725164
3.098,6.076147,4.810373,3.121718,2.753904
3.1,6.055904,4.782674,3.103727,2.784751
3.102,6.045214,4.757099,3.116476,2.811806
3.104,6.039096,4.733076,3.150129,2.836291
3.106,6.031376,4.709122,3.197918,2.857607
3.108,6.016359,4.683798,3.248932,2.877999
3.11,5.98778,4.656935,3.292316,2.898486
3.112,5.95165,4.622603,3.328163,2.912246
3.114,5.909723,4.579112,3.354215,2.916198
3.116,5.868584,4.524009,3.37284,2.907113
3.118,5.830025,4.461219,3.385478,2.889116
3.12,5.786795,4.404367,3.395332,2.880078
3.122,5.736704,4.35951,3.40605,2.889278
3.124,5.673821,4.335847,3.420488,2.930901
3.126,5.606023,4.32774,3.437797,2.989421
3.128,5.544015,4.327711,3.457121,3.042962
3.13,5.495103,4.325598,3.475173,3.073588
3.132,5.468085,4.311626,3.489312,3.059158
3.134,5.452429,4.285001,3.498219,3.026278
3.136,5.4411,4.244113,3.500897,2.993643
3.138,5.421713,4.191472,3.49751,2.986978
3.14,5.387428,4.128835,3.488958,3.020855
3.142,5.340059,4.064641,3.484583,3.068771
3.144,5.281899,4.002696,3.488379,3.118603
3.146,5.219669,3.951368,3.507518,3.140706
3.148,5.156671,3.911413,3.541412,3.129386
3.15,5.096159,3.866266,3.575521,3.09633
3.152,5.040191,3.811175,3.605268,3.050489
